number,address0,address1,address2,king,rank,percent,people
155,충청남도,서산시,,1,104,41.6%,174801
44,대구광역시,서구,,5,13,5.2%,173278
41,부산광역시,기장군,,1,104,41.6%,169142
158,충청남도,당진시,,1,104,41.6%,166098
97,경기도,의왕시,,0,145,58.0%,164150
207,경상북도,안동시,,3,42,16.8%,158820
72,울산광역시,동구,,1,104,41.6%,158154
185,전라남도,광양시,,2,70,28.0%,152576
1,서울특별시,종로구,,3,42,16.8%,150623
115,경기도,포천시,,0,145,58.0%,148081
45,대구광역시,남구,,1,104,41.6%,147746
206,경상북도,김천시,,2,70,28.0%,140384
50,인천광역시,중구,,4,24,9.6%,138535
141,충청북도,제천시,,0,145,58.0%,133513
37,부산광역시,금정구,,2,70,28.0%,131557
233,경상남도,통영시,,0,145,58.0%,129997
2,서울특별시,중구,,9,2,0.8%,126120
156,충청남도,논산시,,0,145,58.0%,117812
105,경기도,양평군,,1,104,41.6%,117456
222,경상북도,칠곡군,,0,145,58.0%,115658
29,부산광역시,영도구,,0,145,58.0%,115388
184,전라남도,나주시,,1,104,41.6%,114469
234,경상남도,사천시,,1,104,41.6%,111268
104,경기도,여주시,,0,145,58.0%,111234
170,전라북도,정읍시,,1,104,41.6%,109646
27,부산광역시,서구,,0,145,58.0%,107868
152,충청남도,공주시,,0,145,58.0%,105611
236,경상남도,밀양시,,0,145,58.0%,105139
209,경상북도,영주시,,1,104,41.6%,104236
210,경상북도,영천시,,0,145,58.0%,101758
153,충청남도,보령시,,0,145,58.0%,100602
163,충청남도,홍성군,,1,104,41.6%,100013
60,광주광역시,동구,,1,104,41.6%,99158
211,경상북도,상주시,,1,104,41.6%,98435
148,충청북도,음성군,,0,145,58.0%,94336
110,경기도,동두천시,,1,104,41.6%,94097
173,전라북도,완주군,,0,145,58.0%,91835
121,강원도,동해시,,0,145,58.0%,90366
28,부산광역시,동구,,0,145,58.0%,89710
172,전라북도,김제시,,0,145,58.0%,83384
123,강원도,속초시,,1,104,41.6%,81792
146,충청북도,진천군,,1,104,41.6%,81584
196,전라남도,무안군,,1,104,41.6%,81565
171,전라북도,남원시,,0,145,58.0%,81067
164,충청남도,예산군,,0,145,58.0%,78618
42,대구광역시,중구,,3,42,16.8%,76880
212,경상북도,문경시,,0,145,58.0%,71282
194,전라남도,해남군,,0,145,58.0%,69588
58,인천광역시,강화군,,0,145,58.0%,69102
125,강원도,홍천군,,2,70,28.0%,68832
160,충청남도,부여군,,0,145,58.0%,66086
124,강원도,삼척시,,0,145,58.0%,65834
240,경상남도,함안군,,0,145,58.0%,64775
189,전라남도,고흥군,,0,145,58.0%,64336
51,인천광역시,동구,,5,13,5.2%,63795
117,경기도,가평군,,0,145,58.0%,62566
191,전라남도,화순군,,0,145,58.0%,62554
165,충청남도,태안군,,0,145,58.0%,62193
241,경상남도,창녕군,,0,145,58.0%,61873
247,경상남도,거창군,,0,145,58.0%,61729
93,경기도,과천시,,1,104,41.6%,60790
223,경상북도,예천군,,0,145,58.0%,55616
179,전라북도,고창군,,0,145,58.0%,54950
195,전라남도,영암군,,0,145,58.0%,54224
198,전라남도,영광군,,0,145,58.0%,53512
180,전라북도,부안군,,0,145,58.0%,52624
161,충청남도,서천군,,0,145,58.0%,52247
215,경상북도,의성군,,0,145,58.0%,52148
242,경상남도,고성군,,0,145,58.0%,51876
